AoA,Mach,Velocity,CXu,CYv,CZw,Clp,Cmq,Cnr
8,0.789795918367347,268.530612244898,-0.00193932126696832,0,-0.00394432126696837,-0.294189254390748,-1.77094627195374,-2.01935348536577
8,0.814285714285714,276.857142857143,-0.0048483031674208,0,-0.00986080316742082,-0.294189254390748,-1.31556008773706,-1.50009116055743
8,0.838775510204082,285.183673469388,-0.0248444852941176,0,-0.0188277941176469,-0.294189254390748,-1.44567042608469,-1.64845182478839
8,0.863265306122449,293.510204081633,-0.0386501416566626,0,-0.000300096038415151,-0.294189254390748,-1.57578076443231,-1.79681248901934
8,0.887755102040816,301.836734693878,-0.0346518511404562,0,-0.000269051620648246,-0.294189254390748,-1.70589110277993,-1.9451731532503
8,0.912244897959184,310.163265306122,-0.0414958655462185,0,-0.000223097238895569,-0.294189254390748,-1.83600144112755,-2.09353381748125
8,0.936734693877551,318.489795918367,-0.0360833613445379,0,-0.000193997599039622,-0.294189254390748,-1.96611177947517,-2.24189448171221
8,0.961224489795918,326.816326530612,-0.0181630204081633,0,-0.000493632653061096,-0.294189254390748,-2.09622211782279,-2.39025514594316
8,0.985714285714286,335.142857142857,-0.014957781512605,0,-0.000406521008403252,-0.294189254390748,-2.22633245617042,-2.53861581017412
8,1.01020408163265,343.469387755102,-0.0133186170468187,0,-0.000289123649459839,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.03469387755102,351.795918367347,-0.0162783097238895,0,-0.000353373349339726,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.05918367346939,360.122448979592,-0.0294779982721411,0,-0.000594546960980929,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.08367346938775,368.448979591837,-0.0348544177671068,0,-0.000700552220888196,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.10816326530612,376.775510204082,-0.0332128448528583,0,-0.000258025989401366,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.13265306122449,385.102040816327,-0.0360543817527011,0,-0.000197549819927744,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.15714285714286,393.428571428571,-0.0387426470588236,0,-0.000212279411764684,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.18163265306122,401.755102040816,-0.0387426470588236,0,-0.000212279411764759,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.20612244897959,410.081632653061,-0.000814167512690325,0,-0.000274250373245735,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.23061224489796,418.408163265306,-0.00398125490196078,0,-0.000336088235294181,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.25510204081633,426.734693877551,-0.00398125490196078,0,-0.000336088235294069,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.27959183673469,435.061224489796,-0.00398125490196078,0,-0.000336088235294121,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.30408163265306,443.387755102041,-0.00398125490196079,0,-0.00033608823529412,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.32857142857143,451.714285714286,-0.00398125490196078,0,-0.000336088235294163,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.3530612244898,460.040816326531,-0.00398125490196078,0,-0.000336088235294066,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.37755102040816,468.367346938776,-0.00398125490196079,0,-0.000336088235294156,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.40204081632653,476.69387755102,-0.00398125490196079,0,-0.000336088235294108,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.4265306122449,485.020408163265,-0.00398125490196078,0,-0.000336088235294108,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.45102040816327,493.34693877551,-0.00398125490196079,0,-0.000336088235294193,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.47551020408163,501.673469387755,-0.00398125490196078,0,-0.000336088235294147,-0.235351403512598,-1.41675701756299,-1.61548278829262
8,1.5,510,-0.00398125490196079,0,-0.00033608823529419,-0.235351403512598,-1.41675701756299,-1.61548278829262
